Scheduler,Drinks,Response_Mean,Response_Median,Waiting_Mean,Waiting_Median,Turnaround_Mean,Turnaround_Median,Diff_Response
FCFS,29811,6375.648082922411,6031.0,6375.648082922411,6031.0,6435.27731374325,6088.0,344.64808292241105
SJF,30182,4618.923663110463,88.0,4618.923663110463,88.0,4678.679676628454,137.0,4530.923663110463
PRIORITY,30400,4922.819638157895,76.0,4922.819638157895,76.0,4982.597236842105,143.0,4846.819638157895
MLFQ,30404,6548.161294566505,6161.5,6548.161294566505,6161.5,6608.248519931588,6222.0,386.6612945665047
